id,title,category,location,duration,price,badge,featured,special,source,description
combo-zanzibar-safari,Mare a Zanzibar + Safari nella Savana,Combinati,Zanzibar + Tanzania,Da 4 a 10 giorni,Preventivo su misura,Più venduto,True,True,pilipilitravel.com + materiali Drive,"Pacchetto combinato per chi vuole relax sull’oceano e safari nei parchi della Tanzania, con trasferimenti coordinati e assistenza locale."
tanzania-express-4g,Tanzania Express,Safari,Tanzania,4 giorni,Su richiesta,Express,True,False,www.wwwpilipilitravel.com / sezione Safari,Safari veloce ideale per chi ha pochi giorni e vuole aggiungere la savana al soggiorno mare di Zanzibar.
ngoro-serengeti,Ngorongoro & Serengeti,Safari,Nord Tanzania,6–7 giorni consigliati,Su richiesta,Big Five,True,True,pilipilitravel.com / esperienze in evidenza,Esperienza iconica per chi sogna i grandi paesaggi del nord Tanzania e l’avvistamento dei big five.
best-of-tanzania-6g,Best of Tanzania Safari,Safari,Tanzania,6 giorni,Su richiesta,Top safari,False,False,www.wwwpilipilitravel.com / sezione Safari,Programma safari completo per vivere i parchi più amati della Tanzania con un ritmo equilibrato.
safari-special-5g4n,Safari Special,Safari,Tanzania,5 giorni / 4 notti,Su richiesta,Speciale,False,True,www.wwwpilipilitravel.com / sezione Safari Special,"Prodotto safari speciale, perfetto per campagne promozionali, agenzie e richieste last minute."
selous-nyerere-24-25,Safari Selous / Nyerere 24–25,Safari,Tanzania del Sud,Variabile,Su richiesta,Drive PDF,False,False,Drive: SAFARI / SAFARI SELOUS 24-25.pdf,"Safari nel sud della Tanzania, vendibile come alternativa ai parchi del nord o come estensione da Zanzibar."
mnemba-snorkeling,Mnemba Snorkeling,Escursioni,"Atollo di Mnemba, Zanzibar",Mezza giornata / giornata,Da definire,Oceano,True,False,pilipilitravel.com / esperienze in evidenza,"Giornata in barca con mare cristallino, fondali e pranzo locale su richiesta."
stone-town-spezie,Stone Town + Spezie,Escursioni,Stone Town + piantagioni,Giornata,Da definire,Cultura,True,False,pilipilitravel.com / esperienze in evidenza,"Mercati, architettura swahili, storia dell’isola e profumi delle piantagioni."
safari-blue,Safari Blue,Escursioni,Zanzibar,Giornata,Da definire,Best seller,True,False,Drive: ZANZIBAR / ESCURSIONI + sito,"Escursione in barca tradizionale, snorkeling, sandbank e pranzo seafood in stile locale."
prison-island,Prison Island,Escursioni,Zanzibar,Mezza giornata,Da definire,Classico,False,False,www.pilipilitravel.com / foto esperienze,Escursione classica con storia dell’isola e incontro con le tartarughe giganti.
the-rock-restaurant,The Rock Restaurant Experience,Ristoranti,"Michamvi, Zanzibar",Pranzo o cena,Da definire,Iconico,False,True,www.pilipilitravel.com / foto esperienze,"Esperienza food in uno dei luoghi più fotografati di Zanzibar, vendibile con trasferimento e tour mare."
mtende-beach,Mtende Beach,Escursioni,Sud Zanzibar,Mezza giornata / giornata,Da definire,Natura,False,False,www.pilipilitravel.com / foto esperienze,"Spiaggia scenografica nel sud dell’isola, perfetta per tour fotografici e giornata relax."
